official_list_id,name,address,prefecture,municipality,stall_count,max_kw,tesla_location_id,official_source_url,stall_count_source_url,source_checked_at,review_status
"1","岡山","700-0902 岡山県岡山市北区錦町 7-19","岡山県","","4","250","okayamasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/okayamasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"2","広島府中","735-0021 広島県府中町大須 2-1-1","広島県","","4","250","34080","https://www.tesla.com/ja_JP/findus/location/supercharger/34080","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"3","山口","753-0813 山口県山口市吉敷中東 4-8-17","山口県","","4","250","59327","https://www.tesla.com/ja_JP/findus/location/supercharger/59327","https://supercharge.info/service/supercharge/allSites","2026-07-22","manual_match_reviewed"
"4","倉敷","710-0834 岡山県倉敷市笹沖 1209-1","岡山県","","4","138","okayamaedionkurashikisupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/okayamaedionkurashikisupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"5","広島","733-0831 広島県広島市西区扇 2-1-45","広島県","","8","72","teslahiroshima","https://www.tesla.com/ja_JP/findus/location/supercharger/teslahiroshima","https://supercharge.info/service/supercharge/allSites","2026-07-22","manual_match_reviewed"
"6","松山","790-0932 愛媛県松山市東石井 6-1-42","愛媛県","","4","72","matsuyamasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/matsuyamasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"7","高松","761-8071 香川県高松市伏石町 2141-2","香川県","","4","250","kagawatakamatsusupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/kagawatakamatsusupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"8","高知","780-0071 高知県高知市高埇 6-19","高知県","","4","72","kochisupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/kochisupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"9","鳥取","680-0831 鳥取県鳥取市栄町 503","鳥取県","","4","250","tottorijpsupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tottorijpsupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"10","鳴門","772-0053 徳島県鳴門市鳴門町土佐泊浦高砂 186-16","徳島県","","8","130","tokushimajpsupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokushimajpsupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"11","富士川","421-3305 静岡県富士市岩淵 1488-1","静岡県","","4","250","fujikawasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/fujikawasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"12","浜松市野","435-0052 静岡県浜松市中央区天王町字諏訪 1981-3","静岡県","","6","250","hamamatsuichinosupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/hamamatsuichinosupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"13","飯田","395-0805 長野県飯田市鼎一色 456","長野県","","4","250","iidasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/iidasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"14","軽井沢","389-0102 長野県北佐久郡軽井沢町軽井沢 1178","長野県","","4","250","karuizawasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/karuizawasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"15","春日井","486-0917 愛知県春日井市美濃町 2-3","愛知県","","4","250","kasugaisupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/kasugaisupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"16","松本","399-0036 長野県松本市村井町南 3-1-8","長野県","","4","250","matsumotosupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/matsumotosupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"17","名古屋 - 神宮","456-0031 愛知県名古屋市熱田区神宮 4-7-27","愛知県","","4","250","nagoyaatsutasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/nagoyaatsutasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"18","名古屋 - 則武","451-0051 愛知県名古屋市西区則武新町 3-1-17","愛知県","","8","250","nagoyacentralsupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/nagoyacentralsupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"19","名古屋 - 北","452-0817 愛知県名古屋市西区二方町 40","愛知県","","8","250","nagoyakitasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/nagoyakitasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"20","名古屋 - 南大高","459-8016 愛知県名古屋市緑区南大高 4-401","愛知県","","4","250","minamiodakasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/minamiodakasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"21","高山","506-0055 岐阜県高山市上岡本町 3-326","岐阜県","","4","250","takayamasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/takayamasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"22","遠州森町","437-0221 静岡県周智郡森町円田円田 903","静岡県","","12","250","34014","https://www.tesla.com/ja_JP/findus/location/supercharger/34014","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"23","常滑","479-0849 愛知県常滑市虹の丘 3-152","愛知県","","4","250","451013","https://www.tesla.com/ja_JP/findus/location/supercharger/451013","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"24","豊田","471-0045 愛知県豊田市東新町 6-17-1","愛知県","","8","250","toyotasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/toyotasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"25","名古屋 - 名城","462-0846 愛知県名古屋市名城 1-4-1","愛知県","","6","138","nagoyasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/nagoyasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"26","名古屋 - 星が丘","464-0802 愛知県名古屋市千種区星が丘元町 14-35","愛知県","","8","72","nagoyahoshigaokasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/nagoyahoshigaokasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"27","富山","930-0085 富山県富山市丸の内 1-8-17","富山県","","4","72","toyamasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/toyamasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"28","本巣","501-0497 岐阜県本巣市三橋 1100","岐阜県","","4","250","473056","https://www.tesla.com/ja_JP/findus/location/supercharger/473056","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"29","岐阜羽島","501-6236 岐阜県羽島市江吉良 2939","岐阜県","","4","138","gifuhashimasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/gifuhashimasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"30","御殿場","412-0043 静岡県御殿場市新橋 1537-1","静岡県","","6","130","gotembasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/gotembasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"31","新潟","950-0933 新潟県新潟市清五郎 33-1","新潟県","","4","250","niigatajpsupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/niigatajpsupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"32","浜松","431-2102 静岡県浜松市浜名区都田町 7824-5","静岡県","","4","138","japanhamamatsusupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/japanhamamatsusupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"33","焼津","425-0091 静岡県焼津市八楠 4－13－7","静岡県","","6","250","shizuokayaizusupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/shizuokayaizusupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"34","甲府","400-0049 山梨県甲府市徳行 2-4-20","山梨県","","6","130","kofusupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/kofusupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","manual_match_reviewed"
"35","福井","910-0838 福井県福井市新保北 1-303","福井県","","4","250","fukuisupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/fukuisupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"36","金沢","920-8203 石川県金沢市鞍月 5-158","石川県","","4","250","kanazawasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/kanazawasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"37","長野","381-1215 長野県長野市松代町西寺尾 1372-1","長野県","","4","150","japannaganosupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/japannaganosupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"38","福岡 - 博多駅南","812-0016 福岡県福岡市博多区博多駅南 6-5-27","福岡県","","4","250","fukuokahakataekiminamisupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/fukuokahakataekiminamisupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","manual_match_reviewed"
